Time(s),Position(V)
2301.183000,-1.981158
2304.183000,-1.999050
2307.183000,-2.012603
2310.181000,-2.027037
2313.182000,-2.039840
2316.182000,-2.055324
2319.182000,-2.069775
2322.182000,-2.086586
2325.182000,-2.101972
2328.180000,-2.112157
2331.180000,-2.126305
2334.181000,-2.139318
2337.181000,-2.150965
2340.181000,-2.164722
2343.179000,-2.176797
2346.179000,-2.187706
2349.179000,-2.200179
2352.180000,-2.213107
2355.180000,-2.222238
2358.178000,-2.229955
2361.178000,-2.241156
2364.178000,-2.251184
2367.178000,-2.260676
2370.178000,-2.265479
2373.177000,-2.271826
2376.177000,-2.280981
2379.177000,-2.284322
2382.177000,-2.291053
2385.177000,-2.299382
2388.177000,-2.301418
2391.176000,-2.305797
2394.176000,-2.311477
2397.176000,-2.313371
2400.176000,-2.312640
2403.176000,-2.312344
2406.174000,-2.319809
2409.174000,-2.321699
2412.175000,-2.324001
2415.175000,-2.322172
2418.175000,-2.321193
2421.173000,-2.319092
2424.173000,-2.316760
2427.173000,-2.322050
2430.174000,-2.313792
2433.174000,-2.299885
2436.174000,-2.306171
2439.172000,-2.311617
2442.172000,-2.304671
2445.172000,-2.290625
2448.172000,-2.291842
2451.173000,-2.289299
2454.171000,-2.275888
2457.171000,-2.278387
2460.171000,-2.268749
2463.171000,-2.268518
2466.171000,-2.255247
2469.170000,-2.248502
2472.170000,-2.238304
2475.170000,-2.247533
2478.170000,-2.219685
2481.170000,-2.215085
2484.168000,-2.208419
2487.168000,-2.191065
2490.169000,-2.187546
2493.169000,-2.184541
2496.169000,-2.167782
2499.169000,-2.149486
2502.167000,-2.157716
2505.167000,-2.132278
2508.168000,-2.116402
2511.168000,-2.109077
2514.168000,-2.093881
2517.166000,-2.081538
2520.166000,-2.080358
2523.166000,-2.055664
2526.166000,-2.049555
2529.167000,-2.032320
2532.165000,-2.017512
2535.165000,-2.004717
2538.165000,-1.987998
2541.165000,-1.984007
2544.165000,-1.968125
2547.166000,-1.949547
2550.164000,-1.940127
2553.164000,-1.928273
2556.164000,-1.908719
2559.164000,-1.903878
2562.164000,-1.892249
2565.163000,-1.883121
2568.164000,-1.864965
2571.164000,-1.850568
2574.163000,-1.835729
2577.163000,-1.827717
2580.161000,-1.817957
2583.161000,-1.819239
2586.162000,-1.799097
2589.162000,-1.792573
2592.162000,-1.772156
2595.160000,-1.756066
2598.160000,-1.745385
2601.160000,-1.745130
2604.161000,-1.740748
2607.161000,-1.729054
2610.161000,-1.704871
2613.159000,-1.689070
2616.159000,-1.674530
2619.159000,-1.668802
2622.159000,-1.655725
2625.160000,-1.660246
2628.158000,-1.637847
2631.158000,-1.627444
2634.158000,-1.631881
2637.158000,-1.612939
2640.158000,-1.606616
2643.157000,-1.586739
2646.157000,-1.569752
2649.157000,-1.561440
2652.157000,-1.554410
2655.157000,-1.549587
2658.157000,-1.528428
2661.155000,-1.523186
2664.156000,-1.512767
2667.156000,-1.502341
2670.156000,-1.504207
2673.156000,-1.485004
2676.154000,-1.481274
2679.154000,-1.488971
2682.155000,-1.475271
2685.155000,-1.456982
2688.155000,-1.466235
2691.153000,-1.444336
2694.153000,-1.454595
2697.153000,-1.442453
2700.153000,-1.435188
2703.154000,-1.423201
2706.154000,-1.431041
2709.152000,-1.414597
2712.152000,-1.421648
2715.152000,-1.410576
2718.152000,-1.411480
2721.153000,-1.415770
2724.151000,-1.405980
2727.151000,-1.392939
2730.151000,-1.412755
2733.151000,-1.406449
2736.151000,-1.386780
2739.149000,-1.392613
2742.150000,-1.404797
2745.150000,-1.397542
2748.150000,-1.381055
2751.150000,-1.399405
2754.148000,-1.404504
2757.148000,-1.400982
2760.149000,-1.393759
2763.149000,-1.401999
2766.149000,-1.414094
2769.149000,-1.413904
2772.147000,-1.414196
2775.147000,-1.414944
2778.147000,-1.417001
2781.148000,-1.422606
2784.148000,-1.414951
2787.146000,-1.427209
2790.146000,-1.434549
2793.146000,-1.437217
2796.146000,-1.444084
2799.147000,-1.447494
2802.145000,-1.451216
2805.145000,-1.457533
2808.145000,-1.465100
2811.145000,-1.470848
2814.145000,-1.478531
2817.145000,-1.486380
2820.144000,-1.490864
2823.144000,-1.498982
2826.144000,-1.508460
2829.144000,-1.515854
2832.144000,-1.523506
2835.142000,-1.535788
2838.143000,-1.539630
2841.143000,-1.547819
2844.143000,-1.558095
2847.142000,-1.567073
2850.142000,-1.572988
2853.142000,-1.581657
2856.142000,-1.590054
2859.141000,-1.599378
2862.141000,-1.609264
2865.141000,-1.614557
2868.141000,-1.625962
2871.141000,-1.636633
2874.139000,-1.647046
2877.140000,-1.655160
2880.140000,-1.660885
2883.140000,-1.671284
2886.139000,-1.683998
2889.139000,-1.693163
2892.139000,-1.701743
2895.139000,-1.712611
2898.138000,-1.720600
2901.138000,-1.730445
2904.138000,-1.738637
2907.138000,-1.745766
2910.138000,-1.758007
2913.138000,-1.763355
2916.137000,-1.773349
2919.137000,-1.781760
2922.137000,-1.789979
2925.137000,-1.799070
2928.137000,-1.807164
2931.135000,-1.815659
2934.135000,-1.825082
2937.136000,-1.834455
2940.136000,-1.842311
2943.136000,-1.846363
2946.134000,-1.859828
2949.134000,-1.864513
2952.134000,-1.874031
2955.135000,-1.877798
2958.135000,-1.890083
2961.133000,-1.899462
2964.133000,-1.904861
2967.133000,-1.914869
2970.133000,-1.922242
2973.134000,-1.928830
2976.134000,-1.932097
2979.132000,-1.944312
2982.132000,-1.946416
2985.132000,-1.954734
2988.132000,-1.963818
2991.132000,-1.968206
2994.131000,-1.974965
2997.131000,-1.980866
3000.132000,-1.986006
